procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0  91848 473544 378804 3957372    0    0     0     0 1396  707 25  0 75  0  0 2023-04-02 08:04:37
 1  0  91848 473544 378804 3957372    0    0     0     8 1636 1151 25  0 74  0  0 2023-04-02 08:04:38
 2  0  91848 473544 378804 3957372    0    0     0     0 1730 1513 25  0 75  0  0 2023-04-02 08:04:39
 1  0  91848 471504 378808 3957372    0    0     0    32 1359  643 25  0 75  0  0 2023-04-02 08:04:40
 1  0  91848 473560 378808 3957372    0    0     0     0 1769  842 31  0 69  0  0 2023-04-02 08:04:41
 1  0  91848 473560 378808 3957372    0    0     0     0 1603 1099 25  0 75  0  0 2023-04-02 08:04:42
 2  0  91848 473560 378808 3957372    0    0     0     0 1728 1372 25  0 75  0  0 2023-04-02 08:04:43
 1  0  91848 473560 378808 3957372    0    0     0     0 1431  772 25  0 75  0  0 2023-04-02 08:04:44
 1  0  91848 473560 378816 3957364    0    0     0    16 1945 1739 25  1 74  0  0 2023-04-02 08:04:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0  91848 473560 378816 3957376    0    0     0     0 1385  687 25  0 75  0  0 2023-04-02 08:04:46
 2  0  91848 473560 378816 3957376    0    0     0     0 1349  588 25  0 75  0  0 2023-04-02 08:04:47
 1  0  91848 473560 378816 3957376    0    0     0     0 1335  597 25  0 75  0  0 2023-04-02 08:04:48
 1  0  91848 473308 378816 3957376    0    0     0     0 2324 2493 25  0 74  0  0 2023-04-02 08:04:49
 1  0  91848 471268 378820 3957372    0    0     0    16 1386  671 25  0 75  0  0 2023-04-02 08:04:50
 1  0  91848 471268 378820 3957372    0    0     0     0 1328  569 25  0 75  0  0 2023-04-02 08:04:51
 1  0  91848 471268 378820 3957372    0    0     0     0 1317  574 25  0 75  0  0 2023-04-02 08:04:52
 1  0  91848 471268 378820 3957372    0    0     0     0 1405  729 25  0 75  0  0 2023-04-02 08:04:53
 1  0  91848 471268 378820 3957372    0    0     0     0 1550 1031 25  0 75  0  0 2023-04-02 08:04:54
 1  0  91848 473324 378820 3957364    0    0     0    16 1391  706 25  0 75  0  0 2023-04-02 08:04:55
 1  0  91848 473324 378820 3957364    0    0     0     0 1324  578 25  0 75  0  0 2023-04-02 08:04:56
 1  0  91848 473324 378820 3957364    0    0     0     0 1395  704 25  0 75  0  0 2023-04-02 08:04:57
 1  0  91848 473324 378820 3957364    0    0     0     0 1335  594 25  0 75  0  0 2023-04-02 08:04:58
 1  0  91848 473324 378820 3957364    0    0     0     0 1336  579 25  0 75  0  0 2023-04-02 08:04:59
 1  0  91848 471284 378828 3957368    0    0     0    16 1348  612 25  0 75  0  0 2023-04-02 08:05:00
 1  0  91848 471284 378828 3957368    0    0     0     0 1325  570 25  0 75  0  0 2023-04-02 08:05:01
 1  0  91848 471284 378828 3957368    0    0     0     0 1571 1046 25  0 75  0  0 2023-04-02 08:05:02
 1  0  91848 471284 378828 3957368    0    0     0     0 1507  891 25  0 75  0  0 2023-04-02 08:05:03
 3  0  91848 471284 378828 3957368    0    0     0     0 1434  756 25  0 75  0  0 2023-04-02 08:05:04
 1  0  91848 471284 378832 3957368    0    0     0    32 1351  616 25  0 75  0  0 2023-04-02 08:05:05
 1  0  91848 471284 378832 3957368    0    0     0     0 1376  679 25  0 75  0  0 2023-04-02 08:05:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
